El Paso,USA,Hamburg,West Germany,1,0,0,0,0,
Erie,USA,Toronto,Canada,2263,0,0,0,0,
Eugene,USA,Vancouver,Canada,23,0,363,0,0,
Evansville,USA,Puerto Vallarta,Mexico,101,0,180,0,0,
Newark,USA,Acapulco,Mexico,7006,865,751,3825,1728,
Newark,USA,Malaga,Spain,8250,0,0,0,0,
Newark,USA,Auckland,New Zealand,53,0,0,0,0,
Newark,USA,Stockholm,Sweden,50109,58733,48130,111271,120514,
Newark,USA,Aruba,Aruba,28669,45959,35139,63246,86152,
Newark,USA,Hamilton,Bermuda,54730,53649,56834,57829,52260,
Newark,USA,Bordeaux,France,3914,0,0,0,0,
Newark,USA,Paris,France,129109,153046,258687,248445,217640,
Newark,USA,Cologne,West Germany,5667,0,0,0,0,
Newark,USA,Copenhagen,Denmark,59490,69453,101709,81129,124757,
Newark,USA,Cancun,Mexico,30732,75599,103399,108365,135595,
Newark,USA,Oslo,Norway,43898,58305,48246,33860,57246,
Newark,USA,Freeport,The Bahamas,2042,12516,0,4572,110,
Newark,USA,Grand Cayman,Cayman Islands,57,0,753,3900,15096,
Newark,USA,Kingston,Jamaica,6299,1525,1010,9269,0,
Newark,USA,London,United Kingdom,270676,340701,616615,510164,530135,
Newark,USA,Lisbon,Portugal,21042,46899,93405,125898,110191,
Newark,USA,Montego Bay,Jamaica,42031,19971,43985,58317,27941,
Newark,USA,Melbourne,Australia,310,0,0,0,0,
Newark,USA,Mexico City,Mexico,17571,38199,95780,80396,85524,
Newark,USA,Montpellier,France,1134,0,0,0,0,
Newark,USA,Marseille,France,3422,0,0,0,0,
Newark,USA,Nassau,The Bahamas,26373,60905,45762,39999,70109,
Newark,USA,Tokyo,Japan,49635,60802,70785,76361,79514,
Newark,USA,Nantes,France,1294,0,0,0,0,
Newark,USA,Puerto Plata,Dominican Republic,38606,0,17346,24492,44863,
Newark,USA,Port of Spain,Trinidad and Tobago,373,0,0,11577,17827,
Newark,USA,Santo Domingo,Dominican Republic,29127,45528,66481,61133,81550,
Newark,USA,Seoul,South Korea,1899,765,32154,0,0,
Newark,USA,Philipsburg,Netherlands Antilles,37064,18526,14352,33884,32985,
Newark,USA,Sydney,Australia,1038,0,0,0,0,
Newark,USA,Tenerife,Spain,3222,2586,0,0,0,
Newark,USA,Toulouse,France,2662,0,0,0,0,
Newark,USA,Taipei,Taiwan,485,39649,48375,49983,52136,
Newark,USA,Halifax,Canada,2390,25744,36115,50283,55416,
Newark,USA,Ottawa,Canada,12422,29711,20586,29612,45417,
Newark,USA,Montreal,Canada,38033,60557,117558,98298,109495,
Newark,USA,Toronto,Canada,95735,116733,235503,208665,346519,
Ezeiza,Argentina,New York,USA,28544,91240,153663,83395,76413,
Ezeiza,Argentina,Los Angeles,USA,24326,23514,10539,2829,6759,
Ezeiza,Argentina,Miami,USA,116044,302645,328982,151166,276369,
Faro,Portugal,New York,USA,158,0,0,0,0,
Fargo,USA,Toronto,Canada,6,0,19,0,0,
Oslo,Norway,Newark,USA,42750,58858,49613,33934,57387,
Oslo,Norway,New York,USA,3490,0,637,0,0,
Rome,Italy,Boston,USA,13758,52104,0,27285,72286,
Rome,Italy,New York,USA,393314,332719,248889,188524,280854,
Rome,Italy,Los Angeles,USA,27807,44021,4564,0,37718,
Rome,Italy,Chicago,USA,36695,56905,37191,44794,108195,
Fort de France,Martinique,New York,USA,9429,1280,279,210,0,
Fort de France,Martinique,Miami,USA,9538,6177,2780,5487,629,
Fort de France,Martinique,San Juan,USA,4169,20884,191,368,15791,
Fort Lauderdale,USA,Stockholm,Sweden,9147,0,0,0,0,
Fort Lauderdale,USA,Copenhagen,Denmark,3931,0,0,0,0,
Fort Lauderdale,USA,Freeport,The Bahamas,15920,101445,69199,57964,37535,
Fort Lauderdale,USA,Frankfurt,West Germany,5392,0,0,0,0,
Fort Lauderdale,USA,Gothenburg,Sweden,1669,0,0,0,0,
Fort Lauderdale,USA,Montego Bay,Jamaica,4967,11387,26110,37272,65954,
Fort Lauderdale,USA,Nassau,The Bahamas,89998,84559,153753,221516,204484,
Fort Lauderdale,USA,Hamilton,Canada,1057,0,0,53,2,
Fort Lauderdale,USA,Montreal,Canada,173723,96411,117201,84949,179523,
Fort Lauderdale,USA,Ottawa,Canada,7500,2735,2038,4473,11811,
